state_name,death_year,age_range,death_count,state_abbr,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
ALABAMA,2015,≤ 20,0,AL,3228199,1637943,1590256,1.64,27.91,3.88,0.65,65.92,43551,1349,30810,2590,28220
ALABAMA,2015,21-30,0,AL,3228199,1637943,1590256,1.64,27.91,3.88,0.65,65.92,43551,1349,30810,2590,28220
ALABAMA,2015,31-40,2,AL,3228199,1637943,1590256,1.64,27.91,3.88,0.65,65.92,43551,1349,30810,2590,28220
ALABAMA,2015,41-50,4,AL,3228199,1637943,1590256,1.64,27.91,3.88,0.65,65.92,43551,1349,30810,2590,28220
ALABAMA,2015,51-60,6,AL,3228199,1637943,1590256,1.64,27.91,3.88,0.65,65.92,43551,1349,30810,2590,28220
ALABAMA,2015,61-70,7,AL,3228199,1637943,1590256,1.64,27.91,3.88,0.65,65.92,43551,1349,30810,2590,28220
ALABAMA,2015,≥ 71,1,AL,3228199,1637943,1590256,1.64,27.91,3.88,0.65,65.92,43551,1349,30810,2590,28220
ALABAMA,2016,≤ 20,0,AL,3230773,1638610,1592163,1.69,27.98,3.98,0.65,65.7,41899,1296,28883,2377,26506
ALABAMA,2016,21-30,6,AL,3230773,1638610,1592163,1.69,27.98,3.98,0.65,65.7,41899,1296,28883,2377,26506
ALABAMA,2016,31-40,11,AL,3230773,1638610,1592163,1.69,27.98,3.98,0.65,65.7,41899,1296,28883,2377,26506
ALABAMA,2016,41-50,15,AL,3230773,1638610,1592163,1.69,27.98,3.98,0.65,65.7,41899,1296,28883,2377,26506
ALABAMA,2016,51-60,30,AL,3230773,1638610,1592163,1.69,27.98,3.98,0.65,65.7,41899,1296,28883,2377,26506
ALABAMA,2016,61-70,33,AL,3230773,1638610,1592163,1.69,27.98,3.98,0.65,65.7,41899,1296,28883,2377,26506
ALABAMA,2016,≥ 71,23,AL,3230773,1638610,1592163,1.69,27.98,3.98,0.65,65.7,41899,1296,28883,2377,26506
ALABAMA,2017,≤ 20,0,AL,3230476,1638888,1591588,1.74,28.04,4.07,0.65,65.49,40762,1261,27608,2473,25135
ALABAMA,2017,21-30,3,AL,3230476,1638888,1591588,1.74,28.04,4.07,0.65,65.49,40762,1261,27608,2473,25135
ALABAMA,2017,31-40,16,AL,3230476,1638888,1591588,1.74,28.04,4.07,0.65,65.49,40762,1261,27608,2473,25135
ALABAMA,2017,41-50,15,AL,3230476,1638888,1591588,1.74,28.04,4.07,0.65,65.49,40762,1261,27608,2473,25135
ALABAMA,2017,51-60,33,AL,3230476,1638888,1591588,1.74,28.04,4.07,0.65,65.49,40762,1261,27608,2473,25135
