year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,black_pop_15to64,latinx_pop_15to64,native_pop_15to64,white_pop_15to64,aapi_female_pop_15to64,black_female_pop_15to64,latinx_female_pop_15to64,native_female_pop_15to64,white_female_pop_15to64,aapi_male_pop_15to64,black_male_pop_15to64,latinx_male_pop_15to64,native_male_pop_15to64,white_male_pop_15to64,total_incarceration,total_incarceration_rate,held_in_jail,total_jail_pop,female_jail_pop,male_jail_pop,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate
2022,AK,Alaska,2,West,Pacific,484376.0,224281.0,260095.0,44427.0,21821.0,37108.0,77627.0,303393.0,22686.0,8891.0,16873.0,37373.0,138458.0,21741.0,12930.0,20235.0,40254.0,164935.0,4778.0,986.4237699638296,39.0,2934.0,335.0,2599.0,605.7277817232894,149.36619686910618,999.2502739383687,1505.0,75.0,1430.0,310.7090359555387,33.440193328904364,549.7991118629732
2021,AK,Alaska,2,West,Pacific,486916.0,225591.0,261325.0,44109.0,21813.0,36553.0,77714.0,306727.0,22457.0,8889.0,16643.0,37490.0,140112.0,21652.0,12924.0,19910.0,40224.0,166615.0,4639.0,952.7310665494665,40.0,3076.0,357.0,2719.0,631.7311404841903,158.25099405561392,1040.466851621544,1563.0,85.0,1478.0,320.99992606527616,37.6788081084795,565.579259542715
2020,AK,Alaska,2,West,Pacific,488623.0,226819.0,261804.0,43920.0,21707.0,35801.0,77565.0,309630.0,22371.0,8897.0,16333.0,37569.0,141649.0,21549.0,12810.0,19468.0,39996.0,167981.0,4578.0,936.918646891366,21.0,2784.0,320.0,2464.0,569.7644196036617,141.08165541687424,941.1620907243587,1794.0,99.0,1695.0,367.1542272877044,43.64713714459547,647.4309025072191
2019,AK,Alaska,2,West,Pacific,493016.0,229285.0,263731.0,43819.0,21812.0,35800.0,77429.0,314156.0,22373.0,8997.0,16288.0,37554.0,144073.0,21446.0,12815.0,19512.0,39875.0,170083.0,4475.0,907.678452626284,38.0,2693.0,344.0,2349.0,546.2297369659402,150.03162003619948,890.6802764938517,1782.0,82.0,1700.0,361.4487156603437,35.76335128769872,644.5961983991264
2018,AK,Alaska,2,West,Pacific,497876.0,231938.0,265938.0,43449.0,21926.0,35475.0,77469.0,319557.0,22250.0,9046.0,16241.0,37644.0,146757.0,21199.0,12880.0,19234.0,39825.0,172800.0,4380.0,879.7371232997774,35.0,2441.0,292.0,2149.0,490.28272099880286,125.89571350964482,808.083087035324,1939.0,87.0,1852.0,389.45440230097455,37.510024230613354,696.4029209815822
2017,AK,Alaska,2,West,Pacific,504320.0,235002.0,269318.0,43416.0,22016.0,35267.0,77451.0,326170.0,22226.0,9114.0,16211.0,37696.0,149755.0,21190.0,12902.0,19056.0,39755.0,176415.0,4399.0,872.2636421319797,39.0,2494.0,311.0,2183.0,494.5272842639594,132.33929924000643,810.5659480613995,1905.0,77.0,1828.0,377.7363578680203,32.76567858996945,678.7515130811903
2016,AK,Alaska,2,West,Pacific,509054.0,237107.0,271947.0,42008.0,21832.0,34467.0,77506.0,333241.0,21569.0,8961.0,15862.0,37688.0,153027.0,20439.0,12871.0,18605.0,39818.0,180214.0,4434.0,871.027435203338,40.0,2305.0,296.0,2009.0,452.8006851925336,124.8381532388331,738.7468881804175,2089.0,107.0,1982.0,410.36903746950225,45.12730539376738,728.8184830132342
2015,AK,Alaska,2,West,Pacific,509561.0,237503.0,272058.0,40528.0,21399.0,33551.0,77308.0,336775.0,20825.0,8764.0,15399.0,37636.0,154879.0,19703.0,12635.0,18152.0,39672.0,181896.0,5338.0,1047.5683971104538,46.0,3077.0,402.0,2675.0,603.8531206273635,169.26101986080175,983.246219556124,2261.0,175.0,2086.0,443.7152764830903,73.68327979015001,766.7482669136728
2022,AL,Alabama,1,South,East South Central,3245544.0,1646071.0,1599473.0,62367.0,903814.0,155493.0,20852.0,2103018.0,32671.0,481508.0,72271.0,10588.0,1049033.0,29696.0,422306.0,83222.0,10264.0,1053985.0,40366.15584831787,1243.740828912437,1721.0,15666.155848317863,2529.840723498674,13482.024192553376,482.69737980190274,153.68964786444047,842.90414358688,26421.0,2368.0,24053.0,814.0699987428918,143.85770723134056,1503.8078166996254
2021,AL,Alabama,1,South,East South Central,3241339.0,1643899.0,1597440.0,60901.0,904008.0,149069.0,20873.0,2106488.0,31871.0,481925.0,68917.0,10632.0,1050554.0,29030.0,422083.0,80152.0,10241.0,1055934.0,38574.453342007895,1190.0777222625554,2101.0,15643.453342007891,2306.006243770091,13472.671835403857,482.6231795565934,140.27663766266,843.3914159783064,25032.0,2117.0,22915.0,772.273433911109,128.77920115530213,1434.482672275641
2020,AL,Alabama,1,South,East South Central,3237450.0,1640766.0,1596684.0,59564.0,905561.0,143694.0,20938.0,2107693.0,31174.0,482454.0,66041.0,10700.0,1050397.0,28390.0,423107.0,77653.0,10238.0,1057296.0,35407.795411551975,1093.69396937565,3846.0,13925.795411551975,2044.7627749139,11614.080102783655,430.14704200997625,124.62244920445086,727.387517053071,25328.0,2162.0,23166.0,782.344128866855,131.7677231244431,1450.881952847276
2019,AL,Alabama,1,South,East South Central,3233090.0,1638535.0,1594555.0,58738.0,905806.0,139560.0,20967.0,2108019.0,30738.0,482319.0,63775.0,10679.0,1051024.0,28000.0,423487.0,75785.0,10288.0,1056995.0,41959.0,1297.7987003145597,2569.0,16224.0,2619.326530612245,13379.673469387755,501.8109610310879,159.85783218620566,839.0851033290011,28304.0,2749.0,25555.0,875.4473274792845,167.7718205592191,1602.6414893183364
2018,AL,Alabama,1,South,East South Central,3231340.0,1638987.0,1592353.0,57496.0,906203.0,135891.0,20957.0,2110793.0,30178.0,483260.0,61623.0,10680.0,1053246.0,27318.0,422943.0,74268.0,10277.0,1057547.0,41209.0,1275.2913651921494,2061.0,16429.0,2592.1358823529413,13245.86411764706,508.42684459078896,158.15475548939324,831.8421931347546,26841.0,2402.0,24439.0,830.6461096634832,146.55393849981726,1534.7727545336995
2017,AL,Alabama,1,South,East South Central,3230476.0,1638888.0,1591588.0,56354.0,905795.0,131584.0,21015.0,2115728.0,29585.0,482926.0,59293.0,10739.0,1056345.0,26769.0,422869.0,72291.0,10276.0,1059383.0,40762.5,1261.8109529369665,2021.0,15175.5,2425.08,12861.45,469.7604935000291,147.97106330633943,808.089153725713,27608.0,2473.0,25135.0,854.6108994463974,150.89499709559163,1579.240356172577
2016,AL,Alabama,1,South,East South Central,3230773.0,1638610.0,1592163.0,54751.0,903933.0,128441.0,21010.0,2122638.0,28742.0,481511.0,57501.0,10726.0,1060130.0,26009.0,422422.0,70940.0,10284.0,1062508.0,41899.596666666665,1296.8907647385522,1445.0,14461.596666666666,2152.4583333333335,11889.638333333334,447.6203269826344,131.3587939371378,746.7601202473198,28883.0,2377.0,26506.0,893.9965760516136,145.0619732578222,1664.7792970945814
2015,AL,Alabama,1,South,East South Central,3228199.0,1637943.0,1590256.0,52960.0,900876.0,125300.0,20985.0,2128078.0,27830.0,480185.0,55677.0,10687.0,1063564.0,25130.0,420691.0,69623.0,10298.0,1064514.0,43551.94333333333,1349.1096222176309,1788.0,14529.943333333333,1997.0166666666669,12020.916666666666,450.09441280829753,121.922232133027,755.9107883678265,30810.0,2590.0,28220.0,954.4021294845826,158.12516064356333,1774.5570524494167
2022,AR,Arkansas,5,South,West South Central,1930925.0,961856.0,969069.0,49104.0,314282.0,171618.0,17772.0,1378149.0,24403.0,163589.0,80974.0,8989.0,683901.0,24701.0,150693.0,90644.0,8783.0,694248.0,24974.098645707552,1293.374866745604,2231.0,9580.098645707552,1676.405658577673,7731.497967120691,496.14038068322446,174.28863141443966,797.8273958944812,17625.0,1409.0,16216.0,912.77496536634,146.4876239270743,1673.358656607527
2021,AR,Arkansas,5,South,West South Central,1923291.0,957886.0,965405.0,47613.0,314944.0,164456.0,17598.0,1378680.0,23614.0,164030.0,77353.0,8946.0,683943.0,23999.0,150914.0,87103.0,8652.0,694737.0,23073.78272657424,1199.7031508271104,2505.0,8556.78272657424,1492.0514293104272,6896.420017937856,444.9031751604016,155.76503146621073,714.35511706878,17022.0,1430.0,15592.0,885.0454767375296,149.28707591508802,1615.0734665762038
2020,AR,Arkansas,5,South,West South Central,1915627.0,954072.0,961555.0,46291.0,315602.0,158199.0,17324.0,1378211.0,23037.0,164464.0,74228.0,8800.0,683543.0,23254.0,151138.0,83971.0,8524.0,694668.0,20174.78223228612,1053.1686091439574,2256.0,6336.782232286119,1105.3615467493871,5591.985304761832,330.7941594207077,115.85724628218702,581.556468923965,16094.0,1313.0,14781.0,840.142679133255,137.6206407902129,1537.1975602019645
2019,AR,Arkansas,5,South,West South Central,1914416.0,954186.0,960230.0,44623.0,316133.0,153019.0,17272.0,1383369.0,22425.0,164730.0,71626.0,8800.0,686605.0,22198.0,151403.0,81393.0,8472.0,696764.0,25335.8,1323.4218686011818,1667.0,9243.8,1681.0,7544.0,482.85221184946215,176.17110290865722,785.6451058600544,17759.0,1571.0,16188.0,927.6458199262856,164.64295221267133,1685.8460993720255
2018,AR,Arkansas,5,South,West South Central,1916640.0,956321.0,960319.0,43542.0,316634.0,148495.0,17214.0,1390755.0,22016.0,165142.0,69476.0,8708.0,690979.0,21526.0,151492.0,79019.0,8506.0,699776.0,24713.566666666666,1289.4214180371205,1866.0,8780.566666666666,1532.11,7090.656666666667,458.1228956228956,160.2087583562423,738.3647170020239,17799.0,1403.0,16396.0,928.656398697721,146.70806141452505,1707.3493287126466
2017,AR,Arkansas,5,South,West South Central,1918770.0,958152.0,960618.0,43064.0,316945.0,144146.0,17033.0,1397582.0,21819.0,165204.0,67189.0,8642.0,695298.0,21245.0,151741.0,76957.0,8391.0,702284.0,24835.933333333334,1294.3673985591463,1837.0,8602.933333333334,1471.06,6960.008333333333,448.35667293804534,153.53096377192762,724.5344490040093,18070.0,1419.0,16651.0,941.749141377028,148.097587856624,1733.3633140332577
2016,AR,Arkansas,5,South,West South Central,1918010.0,958743.0,959267.0,41600.0,316888.0,139478.0,16892.0,1403152.0,21133.0,165334.0,64820.0,8578.0,698878.0,20467.0,151554.0,74658.0,8314.0,704274.0,24468.858333333337,1275.7419582449172,1369.0,8300.858333333334,1369.756666666667,6575.606666666667,432.7849350802829,142.87005659146055,685.4824221688713,17537.0,1376.0,16161.0,914.3330848118622,143.52125647853492,1684.7238568615412
2015,AR,Arkansas,5,South,West South Central,1916182.0,959193.0,956989.0,39636.0,315490.0,135459.0,16635.0,1408962.0,20393.0,165016.0,62705.0,8448.0,702631.0,19243.0,150474.0,72754.0,8187.0,706331.0,24233.716666666667,1264.6876270973564,1923.0,8449.716666666667,1419.7083333333333,6834.448333333334,440.966289562613,148.0107062221402,714.1616396148058,17707.0,1402.0,16305.0,924.0771492478272,146.16453622993495,1703.7813391794473
2022,AZ,Arizona,4,West,Mountain,4680297.0,2299643.0,2380654.0,218516.0,269793.0,1615564.0,193316.0,2383108.0,111905.0,127005.0,791914.0,98535.0,1170284.0,106611.0,142788.0,823650.0,94781.0,1212824.0,46233.27415559354,987.8277843391891,0.0,12368.274155593544,1998.9399282990364,10528.124589039411,264.2625917883746,86.923923769865,442.23665383711415,33865.0,3117.0,30748.0,723.5651925508146,135.54277772680368,1291.5778605374826
2021,AZ,Arizona,4,West,Mountain,4616252.0,2267319.0,2348933.0,209847.0,260139.0,1573816.0,192308.0,2380142.0,107343.0,122297.0,770837.0,97772.0,1169070.0,102504.0,137842.0,802979.0,94536.0,1211072.0,44763.21598149801,969.687443005668,0.0,10849.215981498008,1549.2928224401528,9361.690963139845,235.0221777645156,68.33148853073399,398.5507872357298,33914.0,3120.0,30794.0,734.6652652411523,137.60745620708863,1310.9782186209654
2020,AZ,Arizona,4,West,Mountain,4562665.0,2240632.0,2322033.0,204703.0,252384.0,1535626.0,191916.0,2378036.0,104830.0,118323.0,751504.0,97460.0,1168515.0,99873.0,134061.0,784122.0,94456.0,1209521.0,47337.6761615467,1037.500587081162,0.0,9543.6761615467,1149.9450694233656,7439.765866413896,209.16889935041692,51.32235322102717,320.39879994874735,37794.0,3658.0,34136.0,828.3316877307451,163.25750948839433,1470.0910796702717
2019,AZ,Arizona,4,West,Mountain,4500120.0,2212159.0,2287961.0,199720.0,243648.0,1497747.0,190941.0,2368064.0,102511.0,114162.0,733243.0,96951.0,1165292.0,97209.0,129486.0,764504.0,93990.0,1202772.0,55643.0,1236.4781383607549,0.0,13202.0,2176.0,11204.0,293.369954578989,98.36544299030946,489.693661736367,42441.0,4406.0,38035.0,943.1081837817655,199.17194017247405,1662.3972174350874
2018,AZ,Arizona,4,West,Mountain,4444103.0,2187807.0,2256296.0,193697.0,235134.0,1460805.0,189898.0,2364569.0,99576.0,110144.0,715972.0,96520.0,1165595.0,94121.0,124990.0,744833.0,93378.0,1198974.0,55112.5,1240.126522720108,0.0,13107.5,2092.7,10686.8,294.94140887373675,95.65286151840633,473.64352904051594,42005.0,4185.0,37820.0,945.1851138463712,191.28743988843624,1676.1985129610655
2017,AZ,Arizona,4,West,Mountain,4395093.0,2167533.0,2227560.0,190018.0,227295.0,1426518.0,188714.0,2362548.0,97777.0,106244.0,699986.0,95913.0,1167613.0,92241.0,121051.0,726532.0,92801.0,1194935.0,55206.0,1256.0826357940548,0.0,13176.0,2034.0,11202.0,299.78887818756056,93.8394017530529,502.8820772504444,42030.0,4059.0,37971.0,956.2937576064944,187.2635849142781,1704.6005494801486
2016,AZ,Arizona,4,West,Mountain,4356330.0,2151745.0,2204585.0,184995.0,220375.0,1393582.0,187606.0,2369772.0,95537.0,102868.0,684296.0,95485.0,1173559.0,89458.0,117507.0,709286.0,92121.0,1196213.0,55474.0,1273.4113347703228,0.0,13154.0,2038.0,10709.0,301.95141323086176,94.71382529063621,485.76035852552747,42320.0,3997.0,38323.0,971.459921539461,185.75621181877963,1738.3317041529358
2015,AZ,Arizona,4,West,Mountain,4308901.0,2131532.0,2177369.0,177171.0,212331.0,1360137.0,186359.0,2372903.0,91862.0,98752.0,668475.0,94958.0,1177485.0,85309.0,113579.0,691662.0,91401.0,1195418.0,56044.0,1300.656478299223,439.0,13764.0,1841.83,10819.17,319.4317994309918,86.40874263205994,496.8918910850665,42719.0,3981.0,38738.0,991.4128915934712,186.76707645017763,1779.1196623080425
2022,CA,California,6,West,Pacific,25911538.0,12702297.0,13209241.0,4419557.0,1655938.0,10788074.0,132669.0,8915300.0,2276294.0,802332.0,5266018.0,66355.0,4291298.0,2143263.0,853606.0,5522056.0,66314.0,4624002.0,157497.72937211988,607.8285641404995,0.0,59889.72937211987,6599.7089166062015,54242.486553131544,231.13151126775983,51.95681471316724,410.6404490093833,97608.0,3732.0,93876.0,376.6970528727395,29.380512831655565,710.68428534236
2021,CA,California,6,West,Pacific,26020680.0,12749711.0,13270969.0,4364850.0,1667258.0,10713958.0,134648.0,9139966.0,2250606.0,808820.0,5225340.0,67384.0,4397561.0,2114244.0,858438.0,5488618.0,67264.0,4742405.0,162592.76786883787,624.859795627316,0.0,61151.76786883788,6005.933888724409,55425.18436025129,235.01218211375675,47.10643157891508,417.64233162063215,101441.0,3916.0,97525.0,389.8476135135592,30.71442168375424,734.8747480308333
2020,CA,California,6,West,Pacific,26347029.0,12908653.0,13438376.0,4390630.0,1692143.0,10659623.0,137503.0,9467130.0,2265645.0,821326.0,5195592.0,68845.0,4557245.0,2124985.0,870817.0,5464031.0,68658.0,4909885.0,154477.48310412647,586.318416031373,375.0,54456.48310412648,5604.832193564804,47127.331671150525,206.68927454449027,43.419187064404035,350.69216452308325,100396.0,3767.0,96629.0,381.0524518722775,29.18197584209599,719.052659339194
2019,CA,California,6,West,Pacific,26447533.0,12971218.0,13476315.0,4372029.0,1699125.0,10573389.0,139435.0,9663555.0,2261202.0,825808.0,5155772.0,69851.0,4658585.0,2110827.0,873317.0,5417617.0,69584.0,5004970.0,196000.0,741.0899156454403,1599.0,74912.0,9697.0,64481.0,283.24759061648587,74.7578215091289,478.4764974698202,122687.0,5568.0,117119.0,463.8882575550619,42.92580696739504,869.0728882487534
