year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,aapi_pct,black_pop_15to64,black_pct,latinx_pop_15to64,latinx_pct,native_pop_15to64,native_pct,white_pop_15to64,white_pct,aapi_female_pop_15to64,black_female_pop_15to64,latinx_female_pop_15to64,native_female_pop_15to64,white_female_pop_15to64,aapi_male_pop_15to64,black_male_pop_15to64,latinx_male_pop_15to64,native_male_pop_15to64,white_male_pop_15to64,total_incarceration,total_incarceration_rate,held_in_jail,total_jail_pop,female_jail_pop,male_jail_pop,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,total_prison_pop,female_prison_pop,female_total,male_prison_pop,male_total,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,deaths
2022,AK,Alaska,2,West,Pacific,484376,224281,260095,44427,9.17,21821,4.5,37108,7.66,77627,16.03,303393,62.64,22686,8891,16873,37373,138458,21741,12930,20235,40254,164935,4778,986,39,2934,335,2599,605,149,999,1505,75,410,1430,4029,310,33,549,18
2021,AK,Alaska,2,West,Pacific,486916,225591,261325,44109,9.06,21813,4.48,36553,7.51,77714,15.96,306727,62.99,22457,8889,16643,37490,140112,21652,12924,19910,40224,166615,4639,952,40,3076,357,2719,631,158,1040,1563,85,442,1478,4197,320,37,565,23
2020,AK,Alaska,2,West,Pacific,488623,226819,261804,43920,8.99,21707,4.44,35801,7.33,77565,15.87,309630,63.37,22371,8897,16333,37569,141649,21549,12810,19468,39996,167981,4578,936,21,2784,320,2464,569,141,941,1794,99,419,1695,4159,367,43,647,14
2019,AK,Alaska,2,West,Pacific,493016,229285,263731,43819,8.89,21812,4.42,35800,7.26,77429,15.71,314156,63.72,22373,8997,16288,37554,144073,21446,12815,19512,39875,170083,4475,907,38,2693,344,2349,546,150,890,1782,82,426,1700,4049,361,35,644,3
2018,AK,Alaska,2,West,Pacific,497876,231938,265938,43449,8.73,21926,4.4,35475,7.13,77469,15.56,319557,64.18,22250,9046,16241,37644,146757,21199,12880,19234,39825,172800,4380,879,35,2441,292,2149,490,125,808,1939,87,379,1852,4001,389,37,696,11
2017,AK,Alaska,2,West,Pacific,504320,235002,269318,43416,8.61,22016,4.37,35267,6.99,77451,15.36,326170,64.68,22226,9114,16211,37696,149755,21190,12902,19056,39755,176415,4399,872,39,2494,311,2183,494,132,810,1905,77,388,1828,4011,377,32,678,9
2016,AK,Alaska,2,West,Pacific,509054,237107,271947,42008,8.25,21832,4.29,34467,6.77,77506,15.23,333241,65.46,21569,8961,15862,37688,153027,20439,12871,18605,39818,180214,4434,871,40,2305,296,2009,452,124,738,2089,107,403,1982,3991,410,45,728,10
2015,AK,Alaska,2,West,Pacific,509561,237503,272058,40528,7.95,21399,4.2,33551,6.58,77308,15.17,336775,66.09,20825,8764,15399,37636,154879,19703,12635,18152,39672,181896,5338,1047,46,3077,402,2675,603,169,983,2261,175,577,2086,4761,443,73,766,3
2022,AL,Alabama,1,South,East South Central,3245544,1646071,1599473,62367,1.92,903814,27.85,155493,4.79,20852,0.64,2103018,64.8,32671,481508,72271,10588,1049033,29696,422306,83222,10264,1053985,40366,1243,1721,15666,2529,13482,482,153,842,26421,2368,4897,24053,37535,814,143,1503,205
2021,AL,Alabama,1,South,East South Central,3241339,1643899,1597440,60901,1.88,904008,27.89,149069,4.6,20873,0.64,2106488,64.99,31871,481925,68917,10632,1050554,29030,422083,80152,10241,1055934,38574,1190,2101,15643,2306,13472,482,140,843,25032,2117,4423,22915,36387,772,128,1434,172
2020,AL,Alabama,1,South,East South Central,3237450,1640766,1596684,59564,1.84,905561,27.97,143694,4.44,20938,0.65,2107693,65.1,31174,482454,66041,10700,1050397,28390,423107,77653,10238,1057296,35407,1093,3846,13925,2044,11614,430,124,727,25328,2162,4206,23166,34780,782,131,1450,93
2019,AL,Alabama,1,South,East South Central,3233090,1638535,1594555,58738,1.82,905806,28.02,139560,4.32,20967,0.65,2108019,65.2,30738,482319,63775,10679,1051024,28000,423487,75785,10288,1056995,41959,1297,2569,16224,2619,13379,501,159,839,28304,2749,5368,25555,38934,875,167,1602,129
2018,AL,Alabama,1,South,East South Central,3231340,1638987,1592353,57496,1.78,906203,28.04,135891,4.21,20957,0.65,2110793,65.32,30178,483260,61623,10680,1053246,27318,422943,74268,10277,1057547,41209,1275,2061,16429,2592,13245,508,158,831,26841,2402,4994,24439,37684,830,146,1534,125
